menu_id,name,price,size
1,Cinnamon Caramel Cream Cold Brew,750,0.5
2,Iced Peach Green Tea Lemonade,550,0.25
3,Iced Green Tea,1200,0.5
4,Vanilla Cookie,350,0.5
5,Matcha Tea Latte,650,0.25
6,Iced Brown Sugar Oatmilk Shaken Espresso,650,0.25
7,Iced Mocha,400,0.5
8,White Chocolate Crème Frappuccino,1200,0.5
9,Chocolate Cream Cold Brew,900,0.75
10,Caffè Mocha,400,0.5
11,Iced White Chocolate Mocha,750,0.75
12,Oleato Caffe Latte w/ Oatmilk*,750,0.25
13,Caffè Misto,450,0.75
14,Chai Crème Frappuccino,650,0.25
15,Cinnamon Caramel Cream Cold Brew,400,0.75
16,Espresso con Panna,750,0.5
17,Iced Hazelnut Oatmilk Shaken Espresso,450,0.5
18,Iced Matcha Tea Lemonade,500,0.5
19,Iced Flat White,400,0.75
20,Iced Passion Tango Tea,400,0.25
21,Mocha Frappuccino,600,0.25
22,Flat White,450,0.5
23,Caramel Ribbon Crunch Crème Frappuccino,500,0.25
24,Iced Passion Tango Tea,450,0.75
25,Iced Flat White,400,0.75
26,Cappuccino,650,0.75
27,Iced Honey Almondmilk Flat White,900,0.75
28,Iced Passion Tango Tea Lemonade,550,0.25
29,Chocolate Cookie Crumble Crème Frappuccino,600,0.5
30,Caffè Latte,350,0.25
31,Iced Hazelnut Oatmilk Shaken Espresso,550,0.5
32,Caffè Vanilla Frappuccino,1200,0.25
33,Cinnamon Dolce Latte,600,0.25
34,Vanilla Bean Crème Frappuccino,650,0.5
35,Mocha Cookie Crumble Frappuccino,450,0.5
36,Caffè Latte,400,0.75
37,Espresso Frappuccino,400,0.75
38,Royal English Breakfast Tea Latte,450,0.5
39,Oleato Caffe Latte w/ Oatmilk*,350,0.5
40,Chocolate Cookie Crumble Crème Frappuccino,400,0.5
41,Honey Almondmilk Flat White,900,0.25
42,Iced Caffè Latte,600,0.25
43,Iced Cinnamon Dolce Latte,350,0.75
44,Vanilla Sweet Cream Nitro Cold Brew,1200,0.25
45,Vanilla Sweet Cream Nitro Cold Brew,900,0.75
46,Iced Black Tea Lemonade,400,0.75
47,Iced Honey Almondmilk Flat White,900,0.75
48,Cinnamon Caramel Cream Cold Brew,650,0.25
49,Flat White,350,0.25
50,White Chocolate Crème Frappuccino,550,0.25
51,Iced Peach Green Tea,750,0.25
52,Featured / Seasonal Cookie,550,0.5
53,Espresso con Panna,350,0.25
54,Iced Black Tea Lemonade,650,0.25
55,Black Tea,900,0.5
56,White Chocolate Mocha Frappuccino,650,0.5
57,Caramel Ribbon Crunch Crème Frappuccino,400,0.25
58,Black Tea,600,0.5
59,Iced Passion Tango Tea,450,0.75
60,Cappuccino,400,0.25
61,Cold Brew Coffee with Milk,900,0.25
62,Cold Brew Coffee with Milk,550,0.75
63,Iced Black Tea,650,0.25
64,Iced Mocha,400,0.75
65,Teavana London Fog Tea,650,0.5
66,Espresso Macchiato,1200,0.5
67,Iced Caffè Latte,900,0.5
68,Caramel Frappuccino,350,0.25
69,Iced Peach Green Tea,400,0.25
70,Iced Caffe Americano,400,0.5
71,Caffè Misto,350,0.5
72,Iced Chai Tea Latte,900,0.25
73,Vanilla Sweet Cream Nitro Cold Brew,550,0.25
74,Iced Passion Tango Tea,750,0.25
75,Iced Espresso,400,0.5
76,Espresso con Panna,1200,0.75
77,Flat White,550,0.5
78,Java Chip Frappuccino,350,0.5
79,Matcha Crème Frappuccino,500,0.75
80,Espresso,500,0.5
81,Iced Caffe Americano,600,0.25
82,Iced Hazelnut Oatmilk Shaken Espresso,550,0.25
83,Vanilla Bean Crème Frappuccino,600,0.25
84,Espresso Macchiato,600,0.5
85,Cinnamon Dolce Latte,350,0.25
86,White Chocolate Crème Frappuccino,600,0.5
87,Teavana London Fog Tea,550,0.25
88,Iced Caffè Latte,350,0.25
89,Espresso con Panna,750,0.5
90,Caramel Frappuccino,400,0.25
91,Iced Black Tea Lemonade,1200,0.75
92,Iced Shaken Espresso,450,0.5
93,Iced Passion Tango Tea Lemonade,750,0.5
94,Caramel Macchiato,400,0.25
95,Cinnamon Caramel Cream Cold Brew,400,0.5
96,Cinnamon Caramel Cream Cold Brew,400,0.5
97,Matcha Crème Frappuccino,550,0.5
98,White Chocolate Mocha Frappuccino,500,0.5
99,Iced Flat White,1200,0.25
100,Caramel Ribbon Crunch Crème Frappuccino,900,0.25
